id,topic,country,language,intent,prompt_native,prompt_en
p001,Flow Scheduling,DE,de,Vendor Discovery,Welche Anbieter sind auf Flow-Scheduling-Software für die komplexe Prozessfertigung spezialisiert?,Which vendors specialize in flow scheduling software for complex process manufacturing?
p002,Flow Scheduling,DE,de,Vendor Shortlist,"Welche Flow-Scheduling-Software sollte eine Brauerei für die Planung von Brauprozess, Gärung und Abfüllung in die engere Wahl nehmen?","Which flow scheduling software should a brewery shortlist for planning brewing, fermentation and packaging?"
p003,Flow Scheduling,DE,de,Vendor Shortlist,"Welche Flow-Scheduling-Systeme sollte ein Molkereibetrieb für die Planung von Verarbeitung, Abfüllung und Haltbarkeit in die engere Wahl nehmen?","Which flow scheduling systems should a dairy producer shortlist for planning processing, filling and shelf life?"
p004,Flow Scheduling,DE,de,Use-Case Fit,Wie kann ein Betrieb mit mehreren Tanks und Reinigungsschritten seinen Produktionsfluss synchron halten?,How can a plant with multiple tanks and cleaning steps keep its production flow in sync?
p005,Flow Scheduling,DE,de,Use-Case Fit,"Wie kann eine Brauerei Brauprozess, Gärung und Abfüllung rund um begrenzte Tanks planen?","How can a brewery schedule brewing, fermentation and packaging around limited tanks?"
p006,Flow Scheduling,DE,de,Enterprise Capability,"Welche Flow-Scheduling-Werkzeuge unterstützen Mehrwerksbetrieb, komplexe Restriktionen und Echtzeit-Neuplanung?","Which flow scheduling tools support multi-site operations, complex constraints and real-time replanning?"
p007,Flow Scheduling,DE,de,Educational / Category,Warum ist die Produktionsplanung in der Prozessfertigung so schwierig?,Why is production scheduling so hard in process manufacturing?
p008,Flow Scheduling,DE,de,Vendor Discovery,Welche Software bewältigt Tankplanung für die Flüssig- und Getränkeproduktion?,Which software handles tank scheduling for liquid and beverage production?
p009,Flow Scheduling,DE,de,Vendor Discovery,Welche Anbieter bieten Software zur Ablaufplanung der Flüssigproduktion?,Which vendors offer liquid production scheduling software?
p010,Flow Scheduling,DE,de,Vendor Discovery,Welche Software eignet sich am besten für die Batch-Produktionsplanung in Prozessbetrieben?,Which software is best for batch production scheduling in process plants?
p011,Flow Scheduling,DE,de,Vendor Discovery,Welche Produktionsplanungssoftware ist für die tankbasierte Fertigung ausgelegt?,Which production scheduling software is built for tank-based manufacturing?
p012,Flow Scheduling,DE,de,Use-Case Fit,"Welche Produktionsplanungssoftware für Brauereien bewältigt Tanks, Gärung und Abfüllung?","Which brewery production scheduling software handles tanks, fermentation and packaging?"
p013,Flow Scheduling,DE,de,Use-Case Fit,Welche Software für die Produktionsplanung in Molkereien bewältigt Haltbarkeit und Reinigung?,Which dairy production planning and scheduling software handles shelf life and cleaning?
p014,Life Sciences Planning,DE,de,Vendor Discovery,Welche Softwareanbieter bieten Supply-Chain-Planungslösungen für Pharma- und Life-Sciences-Unternehmen?,Which software vendors provide supply chain planning solutions for pharmaceutical and life sciences companies?
p015,Life Sciences Planning,DE,de,Vendor Discovery,Wer sind die führenden Anbieter von Supply-Chain-Planung für Pharma- und Life-Sciences-Hersteller?,Who are the leading supply chain planning providers for pharma and life sciences manufacturers?
